batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=14.ckpt,14,0.6902325581395349,28,128,41.7752,17.9185,0.0023,4.1244,1.3342,7.0747,0.5636,-4671.2327,0.0001,0.0004,0.0,0.0002,0.0004,0.003,0.0605,7.1163
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=15.ckpt,15,0.6874418604651162,28,128,42.0086,17.8337,0.0023,4.1045,1.321,7.3773,0.5716,-4669.7866,0.0001,0.0005,0.0,0.0002,0.0004,0.0033,0.0609,7.4251
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=16.ckpt,16,0.7069767441860465,28,128,42.3921,18.6093,0.0023,4.1154,1.3098,9.0453,0.5811,-4750.8686,0.0001,0.0005,0.0,0.0002,0.0004,0.0032,0.0619,7.9703
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=17.ckpt,17,0.7069767441860465,28,128,41.6233,18.4751,0.0021,4.1235,1.2796,10.0092,0.6086,-4768.0512,0.0001,0.0008,0.0,0.0003,0.0006,0.005,0.0798,7.612
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=18.ckpt,18,0.7153488372093023,28,128,42.4323,18.1005,0.0022,4.1089,1.2977,8.7886,0.5938,-4917.0264,0.0001,0.0005,0.0,0.0002,0.0004,0.0032,0.0615,8.2213
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=19.ckpt,19,0.7134883720930233,28,128,42.4808,16.9177,0.0022,4.0884,1.2818,9.2772,0.607,-4942.4689,0.0001,0.0005,0.0,0.0002,0.0004,0.0031,0.0607,9.8854
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=20.ckpt,20,0.7134883720930233,28,128,43.4062,16.957,0.0024,4.0678,1.3057,9.0414,0.5876,-5096.0344,0.0001,0.0006,0.0,0.0002,0.0004,0.0032,0.062,10.0429
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=21.ckpt,21,0.7097674418604651,28,128,42.8433,17.6535,0.0023,4.1018,1.2937,10.11,0.5971,-4998.0376,0.0001,0.0004,0.0,0.0002,0.0004,0.0029,0.0587,7.9775
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=22.ckpt,22,0.718139534883721,28,128,43.1604,17.6874,0.0023,4.099,1.2968,9.9688,0.595,-5042.7512,0.0001,0.0004,0.0,0.0002,0.0003,0.0029,0.0582,9.67
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=23.ckpt,23,0.7265116279069768,28,128,44.3735,16.5027,0.0024,4.0522,1.3055,10.8837,0.5867,-5200.8809,0.0001,0.0004,0.0,0.0002,0.0004,0.0029,0.0589,10.5741
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=24.ckpt,24,0.7106976744186047,28,128,44.539,16.6046,0.0024,4.0491,1.3059,10.4867,0.5866,-5248.65,0.0001,0.0004,0.0,0.0002,0.0004,0.003,0.0593,11.3689
