batch_size,learning_rate,split_count,cnt_min,cnt_max,checkpoint,epoch_num,accuracy,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
64,0.001,3,25,100,checkpoints/model_64_0.001_3_25_100epoch=01.ckpt,1,0.6773226773226774,124.4429,12.039,0.0004,3.7133,1.1884,15.6858,0.7076,-21723.4172,0.0002,0.0027,0.0,0.0004,0.002,0.0176,0.2218,22.4004
64,0.001,3,25,100,checkpoints/model_64_0.001_3_25_100epoch=02.ckpt,2,0.7072927072927073,123.8013,15.7953,0.0004,3.6992,1.1867,15.141,0.7095,-21548.6062,0.0002,0.0027,0.0,0.0004,0.002,0.0181,0.2318,21.6402
64,0.001,3,25,100,checkpoints/model_64_0.001_3_25_100epoch=03.ckpt,3,0.6923076923076923,123.9367,11.727,0.0004,3.6936,1.1866,16.3297,0.7097,-21528.8796,0.0002,0.0027,0.0,0.0004,0.0022,0.0173,0.2239,20.6904
64,0.001,3,25,100,checkpoints/model_64_0.001_3_25_100epoch=04.ckpt,4,0.6933066933066933,123.4114,10.8226,0.0004,3.7049,1.1858,15.6724,0.7106,-21505.1347,0.0002,0.0028,0.0,0.0004,0.002,0.0181,0.2282,22.8963
64,0.001,5,10,50,checkpoints/model_64_0.001_5_10_50epoch=00.ckpt,0,0.6893106893106893,115.504,12.4321,0.0002,3.9326,1.1363,17.3264,0.7743,-20455.3092,0.0002,0.0028,0.0,0.0004,0.0019,0.0182,0.228,19.0083
64,0.001,5,10,50,checkpoints/model_64_0.001_5_10_50epoch=01.ckpt,1,0.6793206793206793,114.6797,15.5783,0.0002,4.0142,1.1317,18.5261,0.7808,-20435.6152,0.0002,0.0027,0.0,0.0004,0.0019,0.022,0.27,21.6399
64,0.001,5,10,50,checkpoints/model_64_0.001_5_10_50epoch=02.ckpt,2,0.6803196803196803,114.096,14.9178,0.0002,4.0383,1.1293,18.6021,0.7841,-20440.1537,0.0002,0.0029,0.0,0.0004,0.0022,0.0178,0.2288,18.5721
64,0.001,5,10,50,checkpoints/model_64_0.001_5_10_50epoch=03.ckpt,3,0.6793206793206793,112.9888,15.3118,0.0002,4.0633,1.1265,18.9014,0.7878,-20403.6575,0.0001,0.0028,0.0,0.0004,0.0021,0.0168,0.2247,17.9828
64,0.001,5,10,50,checkpoints/model_64_0.001_5_10_50epoch=04.ckpt,4,0.6723276723276723,114.2628,12.8534,0.0002,4.0132,1.1291,18.6842,0.7843,-20534.4661,0.0002,0.0026,0.0,0.0004,0.0021,0.0176,0.2219,20.1551
64,0.001,5,10,100,checkpoints/model_64_0.001_5_10_100epoch=00.ckpt,0,0.6753246753246753,117.4921,22.0083,0.0004,3.7731,1.1427,17.2895,0.7651,-20593.6665,0.0002,0.0026,0.0,0.0004,0.002,0.018,0.2233,20.7066
64,0.001,5,10,100,checkpoints/model_64_0.001_5_10_100epoch=01.ckpt,1,0.6793206793206793,115.1898,19.0379,0.0003,3.8251,1.1369,17.1207,0.7731,-20135.9326,0.0001,0.0025,0.0,0.0003,0.002,0.017,0.2244,20.1279
64,0.001,5,10,100,checkpoints/model_64_0.001_5_10_100epoch=02.ckpt,2,0.6803196803196803,115.2396,12.3808,0.0003,3.8542,1.1392,17.9363,0.7701,-20182.1348,0.0001,0.0026,0.0,0.0004,0.002,0.0167,0.2211,21.9672
64,0.001,5,10,100,checkpoints/model_64_0.001_5_10_100epoch=03.ckpt,3,0.6873126873126874,114.0896,10.7287,0.0003,3.9143,1.1351,18.4555,0.7758,-19996.9957,0.0002,0.0026,0.0,0.0004,0.0019,0.018,0.2247,18.0937
64,0.001,5,10,100,checkpoints/model_64_0.001_5_10_100epoch=04.ckpt,4,0.7032967032967034,112.805,17.6227,0.0003,3.8747,1.1323,18.0728,0.7793,-19776.7124,0.0002,0.0024,0.0,0.0003,0.002,0.0213,0.2614,20.4788
64,0.001,5,25,50,checkpoints/model_64_0.001_5_25_50epoch=00.ckpt,0,0.6883116883116883,115.4158,11.3614,0.0003,3.8246,1.1404,18.5854,0.768,-20419.3056,0.0002,0.0023,0.0,0.0005,0.0019,0.0167,0.2255,19.6097
64,0.001,5,25,50,checkpoints/model_64_0.001_5_25_50epoch=01.ckpt,1,0.6813186813186813,115.7803,12.1759,0.0003,3.8285,1.1426,18.3483,0.7651,-20603.2678,0.0002,0.0049,0.0,0.0004,0.0022,0.02,0.2286,19.709
64,0.001,5,25,50,checkpoints/model_64_0.001_5_25_50epoch=02.ckpt,2,0.6723276723276723,116.0977,12.1544,0.0003,3.7909,1.1438,18.1406,0.7632,-20650.9107,0.0002,0.0027,0.0,0.0004,0.0021,0.0181,0.224,18.7592
64,0.001,5,25,50,checkpoints/model_64_0.001_5_25_50epoch=03.ckpt,3,0.6893106893106893,115.3212,8.6519,0.0003,3.8654,1.1421,17.2908,0.7654,-20714.444,0.0002,0.0027,0.0,0.0004,0.002,0.0183,0.2277,19.2058
64,0.001,5,25,50,checkpoints/model_64_0.001_5_25_50epoch=04.ckpt,4,0.6783216783216783,114.3379,8.0204,0.0003,3.8984,1.1394,17.5901,0.7694,-20640.1173,0.0002,0.0027,0.0,0.0004,0.0021,0.0179,0.2282,21.1414
64,0.001,5,25,100,checkpoints/model_64_0.001_5_25_100epoch=00.ckpt,0,0.6813186813186813,113.4381,12.308,0.0004,3.8247,1.1432,16.653,0.7638,-19967.1726,0.0002,0.0029,0.0,0.0004,0.0021,0.0198,0.2297,18.698
64,0.001,5,25,100,checkpoints/model_64_0.001_5_25_100epoch=01.ckpt,1,0.6943056943056943,110.5935,13.1952,0.0004,3.8599,1.1331,15.4873,0.7774,-19345.481,0.0002,0.0027,0.0,0.0004,0.0019,0.0178,0.226,21.2435
64,0.001,5,25,100,checkpoints/model_64_0.001_5_25_100epoch=02.ckpt,2,0.6993006993006993,111.3282,14.1621,0.0004,3.8595,1.1412,16.5891,0.7662,-19744.7551,0.0002,0.0026,0.0,0.0004,0.002,0.018,0.2272,20.8218
64,0.001,5,25,100,checkpoints/model_64_0.001_5_25_100epoch=03.ckpt,3,0.6793206793206793,111.6566,19.4131,0.0004,3.8123,1.1429,15.8784,0.7639,-19681.6744,0.0002,0.0025,0.0,0.0004,0.0019,0.0184,0.2275,18.9303
64,0.001,5,25,100,checkpoints/model_64_0.001_5_25_100epoch=04.ckpt,4,0.6733266733266733,108.4265,14.5909,0.0004,3.8818,1.1328,15.2557,0.7779,-19055.8295,0.0002,0.0026,0.0,0.0004,0.002,0.0176,0.2235,19.3264
64,0.004,3,10,50,checkpoints/model_64_0.004_3_10_50epoch=00.ckpt,0,0.6893106893106893,114.9473,19.3569,0.0002,4.1668,1.151,15.7879,0.7531,-22292.1115,0.0002,0.0027,0.0,0.0004,0.002,0.0177,0.2252,21.047
