batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=12.ckpt,12,0.5238888888888888,15,128,46.5112,2.281,0.0005,3.6805,1.1273,7.844,0.7852,-1154.5471,0.0001,0.0001,0.0,0.0002,0.0001,0.0021,0.0015,0.2316
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=13.ckpt,13,0.5122222222222222,15,128,46.8417,2.1735,0.0005,3.6134,1.1294,7.5745,0.7824,-1159.3913,0.0001,0.0001,0.0,0.0002,0.0001,0.0021,0.0015,0.2224
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=14.ckpt,14,0.5197222222222222,15,128,46.754,2.1121,0.0005,3.6441,1.1262,7.8195,0.7867,-1163.5703,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0014,0.2187
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=15.ckpt,15,0.5088888888888888,15,128,47.5381,2.1717,0.0006,3.598,1.1306,7.9117,0.7803,-1169.3728,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0014,0.2293
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=16.ckpt,16,0.5113888888888889,15,128,47.9152,2.43,0.0005,3.6063,1.1308,8.0974,0.7804,-1188.2771,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.2256
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=17.ckpt,17,0.5244444444444445,15,128,47.971,2.2667,0.0005,3.5682,1.1303,7.664,0.7811,-1185.3046,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0014,0.2243
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=18.ckpt,18,0.5188888888888888,15,128,48.2069,2.1979,0.0005,3.5859,1.1312,7.818,0.7798,-1187.8294,0.0001,0.0001,0.0,0.0002,0.0001,0.0021,0.0014,0.2264
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=19.ckpt,19,0.5116666666666667,15,128,48.363,2.2936,0.0004,3.5851,1.1307,7.7769,0.7806,-1196.4501,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.2249
64,0.0001,3,10,50,16,8,128,checkpoints/model_64_0.0001_3_10_50_128epoch=00.ckpt,0,0.36944444444444446,7,128,22.1684,4.5255,0.0007,4.6657,1.1539,3.5367,0.7504,-435.6404,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.1668
64,0.0001,3,10,50,16,8,128,checkpoints/model_64_0.0001_3_10_50_128epoch=01.ckpt,1,0.39944444444444444,7,128,26.2814,4.3861,0.001,4.5308,1.2165,4.0495,0.676,-594.4808,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0015,0.1928
