batch_size,learning_rate,split_count,cnt_min,cnt_max,checkpoint,epoch_num,accuracy,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
128,0.001,3,10,100,checkpoints/model_128_0.001_3_10_100epoch=02.ckpt,2,0.6791878172588832,75.0244,23.3984,0.0,8.7055,1.1604,11.8837,0.7401,-18539.2032,0.0002,0.003,0.0,0.0004,0.0022,0.019,0.2328,22.7992
128,0.001,3,10,100,checkpoints/model_128_0.001_3_10_100epoch=03.ckpt,3,0.6802030456852792,74.8585,23.3984,0.0,8.6074,1.1584,11.9791,0.743,-18420.6487,0.0002,0.0026,0.0,0.0004,0.0022,0.0182,0.2278,22.6204
128,0.001,3,10,100,checkpoints/model_128_0.001_3_10_100epoch=04.ckpt,4,0.6720812182741117,75.4114,23.3984,0.0,8.4622,1.1627,11.5687,0.7369,-18519.2738,0.0002,0.0028,0.0,0.0004,0.002,0.0188,0.231,24.4808
128,0.001,3,25,50,checkpoints/model_128_0.001_3_25_50epoch=00.ckpt,0,0.6578680203045685,74.375,23.3979,0.0,8.5861,1.1569,11.4263,0.7448,-18254.8392,0.0002,0.0048,0.0,0.0004,0.0028,0.0179,0.2352,22.1434
128,0.001,3,25,50,checkpoints/model_128_0.001_3_25_50epoch=01.ckpt,1,0.6761421319796954,75.2758,23.3984,0.0,8.337,1.1584,11.6073,0.7427,-18442.291,0.0002,0.0027,0.0,0.0004,0.0023,0.0185,0.2305,22.1732
128,0.001,3,25,50,checkpoints/model_128_0.001_3_25_50epoch=02.ckpt,2,0.6649746192893401,75.243,23.3983,0.0,8.3251,1.1592,11.538,0.7418,-18443.1065,0.0002,0.0036,0.0,0.0004,0.002,0.0197,0.2348,22.4489
128,0.001,3,25,50,checkpoints/model_128_0.001_3_25_50epoch=03.ckpt,3,0.6761421319796954,74.892,23.3984,0.0,8.4234,1.1598,11.6914,0.741,-18573.1938,0.0002,0.003,0.0,0.0005,0.0021,0.0177,0.2365,22.4148
128,0.001,3,25,50,checkpoints/model_128_0.001_3_25_50epoch=04.ckpt,4,0.6710659898477157,75.4532,23.3949,0.0,8.3747,1.1601,11.8204,0.7406,-18588.8875,0.0002,0.0027,0.0,0.0004,0.0022,0.0177,0.231,23.1468
128,0.001,3,25,100,checkpoints/model_128_0.001_3_25_100epoch=00.ckpt,0,0.6700507614213198,75.1347,23.3981,0.0,8.0983,1.1646,10.3426,0.734,-18124.4152,0.0002,0.0029,0.0,0.0005,0.0019,0.0183,0.2348,22.4198
128,0.001,3,25,100,checkpoints/model_128_0.001_3_25_100epoch=01.ckpt,1,0.6751269035532995,75.1942,23.3937,0.0,8.0758,1.1667,10.427,0.7314,-18141.1454,0.0001,0.003,0.0,0.0004,0.002,0.0191,0.2339,22.6795
128,0.001,3,25,100,checkpoints/model_128_0.001_3_25_100epoch=02.ckpt,2,0.6761421319796954,74.1212,23.3979,0.0,8.0065,1.1623,10.2181,0.7372,-17869.8036,0.0002,0.0027,0.0,0.0004,0.0022,0.0186,0.2346,22.5254
128,0.001,3,25,100,checkpoints/model_128_0.001_3_25_100epoch=03.ckpt,3,0.6741116751269035,73.9174,23.3919,0.0,8.0223,1.1624,10.2929,0.7372,-17878.2767,0.0002,0.0036,0.0,0.0004,0.0021,0.0178,0.2304,22.0946
128,0.001,3,25,100,checkpoints/model_128_0.001_3_25_100epoch=04.ckpt,4,0.6700507614213198,72.9819,23.3979,0.0,7.8767,1.1594,10.3702,0.7413,-17723.6346,0.0002,0.003,0.0,0.0005,0.002,0.0187,0.2364,21.5396
